len_procotol2path,ip_exist,len_hostname,www_exist,TLD_exist,SLD_decimal,TLD_decimal,len_path,num_directory_max,path_exist_date,path_exist_hex,label
27,0,20,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,1,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,36,2,20,0,0,0
33,0,26,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,1,0,10,1,9,0,1,0
24,0,17,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,1,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,1,0,1,0,0,0,0,0
35,0,28,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,24,3,16,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,13,1,12,0,0,0
24,0,17,0,0,0,0,28,3,12,0,1,0
25,0,18,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
23,1,16,0,0,1,0,1,0,0,0,0,0
20,0,13,0,0,0,0,17,2,15,0,0,0
20,0,13,0,0,0,0,14,2,12,0,0,0
20,0,13,0,0,0,0,8,2,6,0,0,0
20,0,13,0,0,0,0,12,2,10,0,0,0
20,0,13,0,0,0,0,11,2,9,0,0,0
20,0,13,0,0,0,0,9,2,7,0,0,0
